filename,avg_prob,avg_fscore
social7-daum.txt,0.03541184117814883,0.0069084628670120895
social7-chatgpt.txt,0.10542635933539488,0.013739656219018685
social7-yonhap.txt,0.033896507679634376,0.0006818742570037907
social7-naver.txt,0.03838676912951346,0.0025660004934616332
social6-daum.txt,0.02280737168973225,0.003048890574211289
social6-naver.txt,0.05074220026442564,0.0015967636447800492
social6-yonhap.txt,0.05074220026442564,0.0015967636447800492
social6-chatgpt.txt,0.019594057155556458,0.007330302040010676
social4-chatgpt.txt,0.026275358537513373,0.002136825791595245
social4-naver.txt,0.030460006074111094,0.005354026019078254
social4-yonhap.txt,0.030460006074111094,0.005354026019078254
social5-yonhap.txt,0.09467706795124446,0.00800937866002344
social5-naver.txt,0.04451856765512596,0.0032251423468547917
social5-daum.txt,0.02233933452735929,0.004157864358989816
social5-chatgpt.txt,0.0431430298422792,0.005731908726346915
social1-chatgpt.txt,0.0952917495283943,0.005841016934395541
social10-naver.txt,0.016366504336922216,0.0017173543749570462
social1-daum.txt,0.046252988103347326,0.00016939320106740922
social10-chatgpt.txt,0.026274310380506975,0.0024449182243478887
social1-yonhap.txt,0.06542151670258206,0.0
social10-daum.txt,0.04040347570696702,0.00023812771220605323
social1-naver.txt,0.05605913567929887,0.00031370339062646756
social10-yonhap.txt,0.016366504336922216,0.0017173543749570462
politic10-naver.txt,0.1412974373691734,0.0031583199447052864
politic10-yonhap.txt,0.034041394184353806,0.002055392555146385
politic10-chatgpt.txt,0.045959913730964363,0.0019966505200649646
politic9-chatgpt.txt,0.03269915809371294,0.0008145700453392761
politic5-yonhap.txt,0.02501729403425438,0.0016472440162688714
politic10-naver.txt,0.02355179200665309,0.0002902757619738752
politic5-chatgpt.txt,0.03220718556907601,0.0017134723910812635
politic8-yonhap.txt,0.033557132286771846,0.0001201923076923077
politic6-naver.txt,0.008549056985737899,0.001027587491784303
politic6-chatgpt.txt,0.03757188828984419,0.0005863367401828939
politic-naver.txt,0.09460836532816756,0.005128205128205128
politic1-naver.txt,0.07156393794665257,0.0006488465349224844
politic2-yonhap.txt,0.053755544769004564,0.001129840539654863
politic7-yonhap.txt,0.015045989821038138,0.0010424115853980107
politic7-daum.txt,0.06092752209828737,0.0003550295857988166
politic10-yonhap.txt,0.013684973335609986,0.0017280289082189807
politic6-daum.txt,0.020331674547364505,0.001185449166218397
politic3-chatgpt.txt,0.04738131020097241,0.0007610573587380011
politic7-naver.txt,0.02557783995625169,0.001401988325065248
politic4-chatgpt.txt,0.03141560924346917,0.0009585926893619201
politic4-yonhap.txt,0.008745826811914763,0.0007761859230063158
politic-yonhap.txt,0.0628324279275078,0.0010545529550054435
politic9-yonhap.txt,0.02662603012666715,0.0011784090640409649
politic2-naver.txt,0.03549266283471997,0.0021255060728744943
politic8-chatgpt.txt,0.04393555362386486,0.0006089423397115705
politic10-chatgpt.txt,0.05704269771141788,0.0008212300519992828
politic9-naver.txt,0.01860882410994516,0.001338704894916359
politic9-daum.txt,0.033768985779561965,0.0015575984210731313
politic8-daum.txt,0.05598229145129713,0.00042000232045480917
politic1-chatgpt.txt,0.045124798480313845,0.0012294894647835826
politic4-naver.txt,0.02286329313288801,0.00047970912502932206
politic1-yonhap.txt,0.025695724023255304,0.0004395604395604396
politic3-daum.txt,0.04243989014939871,0.0006118620122393515
politic2-daum.txt,0.046481080079236285,0.0017363033117511605
politic-chatgpt.txt,0.06150480500610474,0.0021302335485027797
politic6-yonhap.txt,0.008549056985737899,0.001027587491784303
politic-daum.txt,0.11628030850171434,0.0057692307692307696
politic3-naver.txt,0.07211945702751668,0.00177687160984637
politic4-daum.txt,0.032706148397678936,0.0017679505686171149
politic5-daum.txt,0.02501729403425438,0.0016472440162688714
politic8-naver.txt,0.04317860081411289,0.0022971259509721046
politic3-yonhap.txt,0.04243989014939871,0.0006118620122393515
politic5-naver.txt,0.02052086416560297,0.000852907775984699
politic7-chatgpt.txt,0.027621550588474538,0.0006730197906668496
social2-naver.txt,0.013775936208702691,0.005779770886292126
social2-yonhap.txt,0.01788130198909756,0.00872428362825163
social2-chatgpt.txt,0.039811409380921384,0.00588017711249168
social3-naver.txt,0.0520615387847723,0.001238144694209974
social3-chatgpt.txt,0.10141410983090104,0.0023125237819519935
social3-yonhap.txt,0.0520615387847723,0.001238144694209974
politic9-chatgpt.txt,0.1409572822788808,0.01393445613555765
politic9-yonhap.txt,0.10479030745366236,0.003211685016689652
politic9-naver.txt,0.08106082739444294,0.011277826360434229
politic9-daum.txt,0.12657570310000751,0.005776340695616624
world2-chatgpt.txt,0.01461145405308793,0.00039141591081515983
world3-naver.txt,0.009624730451769667,0.00014641837071743613
world3-daum.txt,0.012685434583531384,0.0001404001404001404
world2-daum.txt,0.013882756032747249,0.0004966146270494097
world4-naver.txt,0.01025163271000544,0.00015444015444015442
world4-daum.txt,0.04180271443137791,0.0
world1-chatgpt.txt,0.02015849350120973,0.0008570579999151427
world-yonhap.txt,0.012453959075661878,0.004163944163944165
world2-yonhap.txt,0.0796283122087365,0.0
world4-chatgpt.txt,0.040096442240315514,0.00016429803663846215
world2-naver.txt,0.011109931354454096,0.0
world1-yonhap.txt,0.032750627218339316,0.0003157099527562606
world1-daum.txt,0.032750627218339316,0.0003157099527562606
world3-chatgpt.txt,0.013467750804225508,0.0007722007722007721
world1-naver.txt,0.015657810508687062,0.0
world4-yonhap.txt,0.06845323707635108,0.0
world-naver.txt,0.02678950796473293,0.00011355893708834885
world3-yonhap.txt,0.011059106686278372,0.00021384021384021382
